# License GPL
#
# - modified hankaku kana to zenkaku kana
# - added basic japanese letters
# by M.Ohtsuka(mash)
# 
# Modified by mattn

##
## This file should use UTF-8 encoding
##
## User dictionary format:
## <text>,<text>,<reading>,<part-of-speech>
## or
## <text>,<token1> <token2> ... <tokenn>,<reading1> <reading2> ... <readingn>,<part-of-speech>
##

Wyatt,Wyatt,ワイアト,カスタム名詞
Wuxi,Wuxi,ウーシイ,カスタム名詞
Wuthering,Wuthering,ワザリング,カスタム名詞
Wunderkind,Wunderkind,ワンダーキンド,カスタム名詞
Wuhan,Wuhan,ウーハーン,カスタム名詞
Wtxt,Wtxt,ダブリュテキスト,カスタム名詞
Wterm,Wterm,ダブリュターム,カスタム名詞
Wry,Wry,ライ,カスタム名詞
Wrung,Wrung,ラング,カスタム名詞
Wrought,Wrought,ロート,カスタム名詞
Wrote,Wrote,ロウト,カスタム名詞
Wrongdoer,Wrongdoer,ロングドゥアー,カスタム名詞
Wrong,Wrong,ロング,カスタム名詞
Wrog,Wrog,ロウグ,カスタム名詞
Written,Written,リトゥン,カスタム名詞
Writing,Writing,ライティング,カスタム名詞
Writhing,Writhing,ライジング,カスタム名詞
Writhes,Writhes,ライジズ,カスタム名詞
Writhe,Writhe,ライズ,カスタム名詞
Writes,Writes,ライツ,カスタム名詞
Writer,Writer,ライター,カスタム名詞
Writelog,Writelog,ライトゥログ,カスタム名詞
Write,Write,ライト,カスタム名詞
Writable,Writable,ライタブル,カスタム名詞
Writ,Writ,リット,カスタム名詞
Wrists,Wrists,リスツ,カスタム名詞
Wrist,Wrist,リスト,カスタム名詞
Wrinkling,Wrinkling,リンクリング,カスタム名詞
Wrinkle,Wrinkle,リンクル,カスタム名詞
Wringing,Wringing,リンギング,カスタム名詞
Wringer,Wringer,リンガー,カスタム名詞
Wring,Wring,リング,カスタム名詞
Wrigley,Wrigley,リグレイ,カスタム名詞
Wrighter,Wrighter,ライター,カスタム名詞
Wright,Wright,ライト,カスタム名詞
Wriggling,Wriggling,リグリング,カスタム名詞
Wriggle,Wriggle,リグル,カスタム名詞
Wries,Wries,ライズ,カスタム名詞
Wried,Wried,ライド,カスタム名詞
Wretching,Wretching,レッチング,カスタム名詞
Wretchedest,Wretchedest,レッチデスト,カスタム名詞
Wretcheder,Wretcheder,レッチダー,カスタム名詞
Wretched,Wretched,レッチッド,カスタム名詞
Wretch,Wretch,レッチ,カスタム名詞
Wrestling,Wrestling,レスリング,カスタム名詞
Wrestler,Wrestler,レスラー,カスタム名詞
Wrestle,Wrestle,レッスル,カスタム名詞
Wresting,Wresting,レスティング,カスタム名詞
Wrested,Wrested,レスティド,カスタム名詞
Wrest,Wrest,レスト,カスタム名詞
Wrenching,Wrenching,レンチング,カスタム名詞
Wrenches,Wrenches,レンチズ,カスタム名詞
Wrenched,Wrenched,レンチト,カスタム名詞
Wrench,Wrench,レンチ,カスタム名詞
Wren,Wren,レン,カスタム名詞
Wrecking,Wrecking,レッキング,カスタム名詞
Wrecker,Wrecker,レッカー,カスタム名詞
Wrecked,Wrecked,レックト,カスタム名詞
Wreckage,Wreckage,レッケイジ,カスタム名詞
Wreck,Wreck,レック,カスタム名詞
Wreathe,Wreathe,リーズ,カスタム名詞
Wreath,Wreath,リース,カスタム名詞
Wreaking,Wreaking,リーキング,カスタム名詞
Wreaker,Wreaker,リーカー,カスタム名詞
Wreaked,Wreaked,リークト,カスタム名詞
Wreak,Wreak,リーク,カスタム名詞
Wray,Wray,レイ,カスタム名詞
Wrathy,Wrathy,ラシー,カスタム名詞
Wrath,Wrath,ラス,カスタム名詞
Wrapt,Wrapt,ラプト,カスタム名詞
Wrapping,Wrapping,ラッピング,カスタム名詞
Wrapper,Wrapper,ラッパー,カスタム名詞
Wrapped,Wrapped,ラップト,カスタム名詞
Wrap,Wrap,ラップ,カスタム名詞
Wrangling,Wrangling,ラングリング,カスタム名詞
Wrangle,Wrangle,ラングル,カスタム名詞
Wraith,Wraith,レイス,カスタム名詞
Wracking,Wracking,ラッキング,カスタム名詞
Wracked,Wracked,ラックト,カスタム名詞
Wrack,Wrack,ラック,カスタム名詞
Wowwow,Wowwow,ワウワウ,カスタム名詞
Wow,Wow,ワーオ,カスタム名詞
Wovoka,Wovoka,ウオーボーカ,カスタム名詞
Woven,Woven,ウオウブン,カスタム名詞
Wove,Wove,ウオウブ,カスタム名詞
Wounds,Wounds,ウーンズ,カスタム名詞
Wounding,Wounding,ウーンディング,カスタム名詞
Wounded,Wounded,ウーンディド,カスタム名詞
Wound,Wound,ウーンド,カスタム名詞
Wouldst,Wouldst,ウッドゥスト,カスタム名詞
Wouldn't,Wouldn't,ウドゥント,カスタム名詞
Wouldest,Wouldest,ウッデスト,カスタム名詞
Would've,Would've,ウッドゥブ,カスタム名詞
Would,Would,ウッド,カスタム名詞
Wotting,Wotting,ウォティング,カスタム名詞
Wotted,Wotted,ウォッティド,カスタム名詞
Wots,Wots,ウォッツ,カスタム名詞
Wotan,Wotan,ボータン,カスタム名詞
Wot,Wot,ウォット,カスタム名詞
Worthy,Worthy,ワージー,カスタム名詞
Worthwhile,Worthwhile,ワースワイル,カスタム名詞
Worthiness,Worthiness,ワージネス,カスタム名詞
Worthily,Worthily,ワージリー,カスタム名詞
Worthiest,Worthiest,ワージエスト,カスタム名詞
Worthies,Worthies,ワージーズ,カスタム名詞
Worthes,Worthes,ワージズ,カスタム名詞
Worth,Worth,ワース,カスタム名詞
Wort,Wort,ワート,カスタム名詞
Worsted,Worsted,ワースティド,カスタム名詞
Worst,Worst,ワースト,カスタム名詞
Worshipping,Worshipping,ワーシッピング,カスタム名詞
Worshipper,Worshipper,ワーシッパー,カスタム名詞
Worshipped,Worshipped,ワーシップト,カスタム名詞
Worshiping,Worshiping,ワーシッピング,カスタム名詞
Worshiper,Worshiper,ワーシッパー,カスタム名詞
Worshiped,Worshiped,ワーシップト,カスタム名詞
Worship,Worship,ワーシップ,カスタム名詞
Worsening,Worsening,ワースニング,カスタム名詞
Worsen,Worsen,ワースン,カスタム名詞
Worse,Worse,ワース,カスタム名詞
Worry,Worry,ウォリー,カスタム名詞
Worrisome,Worrisome,ウォリーサム,カスタム名詞
Worries,Worries,ウォリーズ,カスタム名詞
Worried,Worried,ウォリード,カスタム名詞
Worn,Worn,ワーン,カスタム名詞
Wormy,Wormy,ワーミイ,カスタム名詞
Worm,Worm,ワーム,カスタム名詞
Worldy,Worldy,ワールディー,カスタム名詞
Worlds,Worlds,ワールズ,カスタム名詞
Worldliness,Worldliness,ワールドゥリネス,カスタム名詞
Worlder,Worlder,ワールダー,カスタム名詞
World,World,ワールド,カスタム名詞
Worl,Worl,ワール,カスタム名詞
Working,Working,ワーキング,カスタム名詞
Worker,Worker,ワーカー,カスタム名詞
Worked,Worked,ワークト,カスタム名詞
Workaholism,Workaholism,ワーカホリズム,カスタム名詞
Workaholic,Workaholic,ワーカホリク,カスタム名詞
Workaday,Workaday,ワーカデイ,カスタム名詞
Workable,Workable,ワーカブル,カスタム名詞
Work,Work,ワーク,カスタム名詞
Wore,Wore,ウォァー,カスタム名詞
Wordy,Wordy,ワーディー,カスタム名詞
Wordstar,Wordstar,ワードゥスター,カスタム名詞
Words,Words,ワーズ,カスタム名詞
Wording,Wording,ワーディング,カスタム名詞
Wordiness,Wordiness,ワーディネス,カスタム名詞
Worded,Worded,ワーディド,カスタム名詞
Word,Word,ワード,カスタム名詞
Worcestershire,Worcestershire,ウースタシャー,カスタム名詞
Worcester,Worcester,ウースター,カスタム名詞
Wopper,Wopper,ウォッパー,カスタム名詞
Wopen,Wopen,ダブリュオウプン,カスタム名詞
Woozy,Woozy,ウージイ,カスタム名詞
Woozily,Woozily,ウージリイ,カスタム名詞
Woosh,Woosh,ウーシュ,カスタム名詞
Woonteiler,Woonteiler,ウンタイラー,カスタム名詞
Woolly,Woolly,ウーリー,カスタム名詞
Woollen,Woollen,ウーレン,カスタム名詞
Woolf,Woolf,ウルフ,カスタム名詞
Woolen,Woolen,ウーレン,カスタム名詞
